id,label
TEST_000,훼손
TEST_001,오염
TEST_002,석고수정
TEST_003,훼손
TEST_004,훼손
TEST_005,훼손
TEST_006,오염
TEST_007,오염
TEST_008,훼손
TEST_009,오타공
TEST_010,몰딩수정
TEST_011,오타공
TEST_012,오염
TEST_013,오염
TEST_014,훼손
TEST_015,훼손
TEST_016,훼손
TEST_017,걸레받이수정
TEST_018,오염
TEST_019,오염
TEST_020,오염
TEST_021,훼손
TEST_022,오염
TEST_023,훼손
TEST_024,오염
TEST_025,터짐
TEST_026,피스
TEST_027,훼손
TEST_028,훼손
TEST_029,훼손
TEST_030,오염
TEST_031,훼손
TEST_032,훼손
TEST_033,오염
TEST_034,곰팡이
TEST_035,오염
TEST_036,훼손
TEST_037,훼손
TEST_038,훼손
TEST_039,훼손
TEST_040,오염
TEST_041,훼손
TEST_042,터짐
TEST_043,가구수정
TEST_044,훼손
TEST_045,석고수정
TEST_046,오염
TEST_047,꼬임
TEST_048,훼손
TEST_049,오염
TEST_050,몰딩수정
TEST_051,오염
TEST_052,훼손
TEST_053,터짐
TEST_054,훼손
TEST_055,훼손
TEST_056,터짐
TEST_057,훼손
TEST_058,훼손
TEST_059,오염
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,훼손
TEST_064,훼손
TEST_065,훼손
TEST_066,오염
TEST_067,오염
TEST_068,오염
TEST_069,석고수정
TEST_070,훼손
TEST_071,오염
TEST_072,오염
TEST_073,면불량
TEST_074,훼손
TEST_075,석고수정
TEST_076,훼손
TEST_077,오염
TEST_078,오염
TEST_079,반점
TEST_080,훼손
TEST_081,오타공
TEST_082,꼬임
TEST_083,훼손
TEST_084,오염
TEST_085,오타공
TEST_086,꼬임
TEST_087,터짐
TEST_088,오염
TEST_089,훼손
TEST_090,오염
TEST_091,훼손
TEST_092,훼손
TEST_093,터짐
TEST_094,훼손
TEST_095,훼손
TEST_096,터짐
TEST_097,석고수정
TEST_098,오타공
TEST_099,오염
TEST_100,피스
TEST_101,훼손
TEST_102,훼손
TEST_103,터짐
