id,label
TEST_000,걸레받이수정
TEST_001,오염
TEST_002,곰팡이
TEST_003,오염
TEST_004,오염
TEST_005,훼손
TEST_006,훼손
TEST_007,오염
TEST_008,오염
TEST_009,오타공
TEST_010,몰딩수정
TEST_011,오타공
TEST_012,훼손
TEST_013,훼손
TEST_014,오염
TEST_015,훼손
TEST_016,오타공
TEST_017,걸레받이수정
TEST_018,오염
TEST_019,훼손
TEST_020,오염
TEST_021,피스
TEST_022,훼손
TEST_023,훼손
TEST_024,훼손
TEST_025,오염
TEST_026,면불량
TEST_027,곰팡이
TEST_028,몰딩수정
TEST_029,오염
TEST_030,오염
TEST_031,훼손
TEST_032,훼손
TEST_033,훼손
TEST_034,오염
TEST_035,오염
TEST_036,훼손
TEST_037,오염
TEST_038,터짐
TEST_039,훼손
TEST_040,훼손
TEST_041,오염
TEST_042,훼손
TEST_043,훼손
TEST_044,훼손
TEST_045,훼손
TEST_046,훼손
TEST_047,훼손
TEST_048,오염
TEST_049,오염
TEST_050,몰딩수정
TEST_051,걸레받이수정
TEST_052,오염
TEST_053,훼손
TEST_054,훼손
TEST_055,훼손
TEST_056,훼손
TEST_057,석고수정
TEST_058,훼손
TEST_059,오염
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,오염
TEST_064,훼손
TEST_065,꼬임
TEST_066,훼손
TEST_067,걸레받이수정
TEST_068,오염
TEST_069,훼손
TEST_070,오염
TEST_071,걸레받이수정
TEST_072,오염
TEST_073,오염
TEST_074,훼손
TEST_075,오염
TEST_076,오타공
TEST_077,오염
TEST_078,훼손
TEST_079,훼손
TEST_080,훼손
TEST_081,훼손
TEST_082,훼손
TEST_083,오타공
TEST_084,걸레받이수정
TEST_085,훼손
TEST_086,몰딩수정
TEST_087,오염
TEST_088,훼손
TEST_089,오염
TEST_090,오염
TEST_091,오염
TEST_092,훼손
TEST_093,오염
TEST_094,오염
TEST_095,훼손
TEST_096,훼손
TEST_097,훼손
TEST_098,터짐
TEST_099,훼손
TEST_100,훼손
TEST_101,곰팡이
TEST_102,걸레받이수정
TEST_103,터짐
TEST_104,훼손
TEST_105,훼손
TEST_106,들뜸
TEST_107,훼손
TEST_108,오염
TEST_109,곰팡이
TEST_110,오염
TEST_111,훼손
TEST_112,훼손
TEST_113,곰팡이
TEST_114,훼손
TEST_115,훼손
TEST_116,훼손
TEST_117,오염
TEST_118,훼손
TEST_119,곰팡이
TEST_120,곰팡이
TEST_121,오염
TEST_122,오염
TEST_123,석고수정
TEST_124,오염
TEST_125,오염
TEST_126,오염
TEST_127,오염
TEST_128,곰팡이
TEST_129,터짐
TEST_130,훼손
TEST_131,훼손
TEST_132,훼손
TEST_133,오염
TEST_134,터짐
TEST_135,훼손
TEST_136,훼손
TEST_137,훼손
TEST_138,훼손
TEST_139,오염
TEST_140,걸레받이수정
TEST_141,훼손
TEST_142,훼손
TEST_143,오염
TEST_144,훼손
TEST_145,훼손
TEST_146,피스
TEST_147,훼손
TEST_148,꼬임
TEST_149,훼손
TEST_150,훼손
TEST_151,곰팡이
TEST_152,훼손
TEST_153,훼손
TEST_154,훼손
TEST_155,이음부불량
TEST_156,훼손
TEST_157,걸레받이수정
TEST_158,훼손
TEST_159,훼손
TEST_160,훼손
TEST_161,오염
TEST_162,곰팡이
TEST_163,훼손
TEST_164,훼손
TEST_165,훼손
TEST_166,훼손
TEST_167,훼손
TEST_168,훼손
TEST_169,오염
TEST_170,곰팡이
TEST_171,훼손
TEST_172,훼손
TEST_173,오염
TEST_174,오염
TEST_175,꼬임
TEST_176,오염
TEST_177,훼손
TEST_178,훼손
TEST_179,꼬임
TEST_180,훼손
TEST_181,걸레받이수정
TEST_182,오염
TEST_183,훼손
TEST_184,오염
TEST_185,훼손
TEST_186,꼬임
TEST_187,훼손
TEST_188,꼬임
TEST_189,꼬임
TEST_190,오염
TEST_191,훼손
TEST_192,훼손
TEST_193,꼬임
TEST_194,훼손
TEST_195,몰딩수정
TEST_196,오염
TEST_197,이음부불량
TEST_198,훼손
TEST_199,곰팡이
TEST_200,훼손
TEST_201,꼬임
TEST_202,오염
TEST_203,오염
TEST_204,훼손
TEST_205,꼬임
TEST_206,훼손
TEST_207,훼손
TEST_208,오염
TEST_209,훼손
TEST_210,꼬임
TEST_211,훼손
TEST_212,훼손
TEST_213,오염
TEST_214,오염
TEST_215,몰딩수정
TEST_216,훼손
TEST_217,오염
TEST_218,훼손
TEST_219,오염
TEST_220,오염
TEST_221,오염
TEST_222,훼손
TEST_223,오염
TEST_224,훼손
TEST_225,훼손
TEST_226,훼손
TEST_227,터짐
TEST_228,곰팡이
TEST_229,몰딩수정
TEST_230,오염
TEST_231,터짐
TEST_232,오염
TEST_233,훼손
TEST_234,오염
TEST_235,훼손
TEST_236,꼬임
TEST_237,꼬임
TEST_238,오염
TEST_239,오염
TEST_240,오염
TEST_241,훼손
TEST_242,훼손
TEST_243,오염
TEST_244,훼손
TEST_245,오염
TEST_246,훼손
TEST_247,훼손
TEST_248,훼손
TEST_249,오염
TEST_250,훼손
TEST_251,오염
TEST_252,꼬임
TEST_253,훼손
TEST_254,피스
TEST_255,훼손
TEST_256,오타공
TEST_257,걸레받이수정
TEST_258,훼손
TEST_259,몰딩수정
TEST_260,오타공
TEST_261,훼손
TEST_262,훼손
TEST_263,훼손
TEST_264,훼손
TEST_265,곰팡이
TEST_266,오염
TEST_267,꼬임
TEST_268,오염
TEST_269,꼬임
TEST_270,훼손
TEST_271,걸레받이수정
TEST_272,오염
TEST_273,훼손
TEST_274,석고수정
TEST_275,오염
TEST_276,훼손
TEST_277,오염
TEST_278,꼬임
TEST_279,훼손
TEST_280,오염
TEST_281,오염
TEST_282,면불량
TEST_283,오염
TEST_284,훼손
TEST_285,훼손
TEST_286,훼손
TEST_287,오염
TEST_288,훼손
TEST_289,훼손
TEST_290,이음부불량
TEST_291,훼손
TEST_292,훼손
TEST_293,훼손
TEST_294,훼손
TEST_295,꼬임
TEST_296,오염
TEST_297,훼손
TEST_298,훼손
TEST_299,오염
TEST_300,오염
TEST_301,훼손
TEST_302,곰팡이
TEST_303,훼손
TEST_304,들뜸
TEST_305,훼손
TEST_306,오염
TEST_307,면불량
TEST_308,오염
TEST_309,훼손
TEST_310,훼손
TEST_311,피스
TEST_312,피스
TEST_313,오염
TEST_314,오염
TEST_315,곰팡이
TEST_316,훼손
TEST_317,훼손
TEST_318,훼손
TEST_319,꼬임
TEST_320,훼손
TEST_321,곰팡이
TEST_322,석고수정
TEST_323,훼손
TEST_324,훼손
TEST_325,훼손
TEST_326,오염
TEST_327,터짐
TEST_328,곰팡이
TEST_329,꼬임
TEST_330,훼손
TEST_331,훼손
TEST_332,오염
TEST_333,훼손
TEST_334,훼손
TEST_335,훼손
TEST_336,오염
TEST_337,오타공
TEST_338,훼손
TEST_339,훼손
TEST_340,훼손
TEST_341,훼손
TEST_342,몰딩수정
TEST_343,피스
TEST_344,곰팡이
TEST_345,오염
TEST_346,터짐
TEST_347,오염
TEST_348,오염
TEST_349,꼬임
TEST_350,훼손
TEST_351,훼손
TEST_352,터짐
TEST_353,훼손
TEST_354,오염
TEST_355,꼬임
TEST_356,훼손
TEST_357,몰딩수정
TEST_358,걸레받이수정
TEST_359,오염
TEST_360,오염
TEST_361,오염
TEST_362,걸레받이수정
TEST_363,훼손
